East-Asian:Mongolia_North_N(5578.BC-5530.BC.n=7),0.024228,-0.4316,0.088839,-0.025056,-0.082301,-0.051874,0.013228,0.014901,0.017005,0.02015,-0.029903,-0.002206,0.001996,-0.004876,-0.005138,-0.004925,0.003781,0.000615,0.003053,0.019992,-0.019822,-0.003321,-0.01692,-0.005715,0.008725
SouthEast-Asian:Laos_BA.WGC,0.003415,-0.378792,-0.078818,-0.032946,0.156029,0.071117,0.00188,-0.010153,0.002454,-0.019317,0.086391,0.008243,-0.017988,0.003716,0.008415,-0.003447,-0.000522,-0.001647,-0.006411,0.019885,-0.007986,0.009645,-0.009613,-0.011206,0.036404
SouthEast-Asian:Laos_Hoabinhian.SG,-0.030732,-0.222401,-0.121433,0.089148,0.02185,-0.001952,-0.005875,0.015922,0.058085,0.024055,0.016401,0.002398,0.000743,0.002202,-0.0095,-0.005967,-0.002868,-0.007348,-0.004525,0.026012,0.010482,0.013107,-0.013434,0.002892,0.005269
SouthEast-Asian:Laos_LN_BA.SG,0.003415,-0.403165,-0.085606,-0.035853,0.15049,0.075858,-0.00141,-0.013615,-0.007976,-0.019681,0.088826,0.004796,-0.01115,0.011423,0.004614,-0.005701,-0.004172,0.000127,-0.002891,0.027138,-0.018592,0.021021,-0.011585,-0.000843,0.039996
SouthEast-Asian:Vietnam_BA:I2497__AD_1__Cov_27.17%,0.005691,-0.429569,-0.034695,-0.04845,0.124946,0.062472,-0.0094,-0.018922,-0.023316,-0.007107,0.01835,-0.004046,-0.003717,-0.007707,-0.002443,0.004906,-0.008084,-0.007981,0.005405,-0.006628,0.010981,0.006183,0.011955,0.002892,0.015807
SouthEast-Asian:Vietnam_N(1999.BC-1808.BC.n=2),0.001707,-0.385902,-0.064299,-0.034723,0.131563,0.056754,0.00188,-0.011076,-0.013703,-0.014944,0.069665,0.001649,-0.004386,0.000757,0.015133,-0.00484,0.000652,6.3e-05,-0.003708,0.014507,-0.002745,0.006121,0.002465,-0.007652,0.03353
West-Eurasian_Farmer:Turkmenistan_C_Parkhai,0.073985,0.0878432,-0.1350092,0.0101745,-0.112021,0.025379,0.0090478,-0.0019615,-0.0843147,-0.049933,-0.0008932,0.002473,-0.0056865,-0.0093585,0.0236832,0.030363,-0.010887,0.0052893,0.0082332,-0.0263252,0.0039932,-0.0199082,-0.0025883,-0.0223223,0.0106875
West-Eurasian_Farmer:Turkmenistan_C_TepeAnau,0.073226,0.0798883,-0.125204,0.011628,-0.111303,0.027331,0.0147273,-0.0023847,-0.0820143,-0.0513907,-0.0026523,0.00025,-0.003568,-0.011652,0.022484,0.04181,0.002912,0.0017317,0.0098463,-0.0232193,0.0058233,-0.0201553,-0.008381,-0.02418,0.0106573
West-Eurasian_Farmer:Uzbekistan_Bustan_BA(1795.BC-1450.BC.n=6),0.082332,0.080227,-0.114645,0.005922,-0.093351,0.019522,0.008343,-0.002038,-0.058358,-0.036356,0.001651,-0.000225,0.003766,-0.006101,0.01036,0.02212,-0.008627,0.002893,0.007731,-0.021114,-0.001206,-0.01218,-0.003759,-0.019943,0.007464
West-Eurasian_Farmer:Turkmenistan_Gonur_BA_1(2250.BC-1800.BC.n=12),0.079487,0.079042,-0.111439,0.00821,-0.098608,0.021521,0.007618,-0.005865,-0.063539,-0.040669,-0.003045,0.002186,-0.005067,-0.006572,0.018322,0.025844,-0.005248,0.0,0.004777,-0.023459,-0.002839,-0.0132,-0.001407,-0.016026,0.010368
Excess_West-Iran:Iran_Hasanlu_IA(1201.BC-632.BC.n=18),0.092766,0.121751,-0.063126,-0.043784,-0.040862,-0.010195,0.002572,-0.006705,-0.03052,-0.012726,0.004565,-0.000325,0.004567,-0.002523,0.002126,0.010511,-0.00318,0.002013,0.0019,-0.006962,0.001567,-0.001635,-0.001075,-0.003474,0.002082
Excess_West-Iran:Syria_Ebla_EMBA:N,0.091472,0.148267,-0.064899,-0.095491,-0.014156,-0.03727,-0.003931,-0.007888,0.001097,0.00883,0.009551,-0.003515,0.008933,5e-05,-0.010833,0.002567,-0.001245,0.00015,0.00376,-0.000159,0.001032,0.005092,-0.001714,-0.001786,-0.00049
Steppe_MLBA:Kazakhstan_MLBA_KazakhMys:I4321__BC_1572__Cov_64.08%,0.113823,0.08632,0.057699,0.07429,-0.01231,0.029005,-0.000705,-0.002077,-0.023111,-0.034989,-0.000162,0.005545,-0.010258,-0.026561,0.030401,0.014054,-0.01004,-0.004814,-0.002137,-0.004127,-0.003119,0.007666,0.009367,0.017231,-0.005389
Steppe_MLBA:Kazakhstan_MLBA_KazakhMys:I4322__BC_1534__Cov_44.21%,0.119514,0.089367,0.058077,0.08398,0.004308,0.02259,0.00376,-0.004384,-0.013703,-0.037905,-0.002436,-0.000749,0.008622,-0.030552,0.02918,0.012198,-0.008475,-0.004054,-0.00352,-0.004877,-0.005366,-0.004451,0.004807,0.000602,-0.003473
Steppe_MLBA:Kazakhstan_MLBA_KazakhMys:I4782__BC_1659__Cov_66.95%,0.120652,0.097491,0.05506,0.10013,0.004924,0.028168,0.003995,0.005307,-0.018816,-0.036083,0.000974,-0.008243,-0.001635,-0.018854,0.018187,0.006762,-0.014864,-0.003421,0.005782,0.001,-0.004991,0.006183,-0.000493,0.00494,-0.005149
